id,idade,genero,estado,curso_faculdade,ano_formatura,possui_estagio,cursos_extras,certificacoes,linguagens_conhecidas,tecnologias_domina,tempo_busca_meses,vagas_aplicadas,entrevistas_realizadas,rejeicoes_recebidas,feedbacks_recebidos,trabalhos_freelancer,maior_dificuldade,sentiu_preparado,participou_programas_treinamento,contatos_profissionais,conseguiu_emprego,tempo_ate_emprego,tipo_empresa,tipo_contrato
115,26,Masculino,Paraná,"Computação em Nuvem",2020,Sim,DevOps,"AWS Certified","Python, Go","Terraform, Kubernetes",6,25,8,5,4,3,"Arquitetura cloud-native",Sim,Sim,14,Sim,6,"Fornecedor Cloud",CLT
116,24,Feminino,Ceará,"UX/UI Design",2022,Sim,"Design Thinking","Adobe XD Certified",JavaScript,"Figma, Sketch",5,20,6,4,3,4,"Testes de usabilidade",Sim,Não,10,Sim,5,"Agência Digital",PJ
117,28,Masculino,Amazonas,"Redes de Computadores",2019,Sim,"Segurança de Redes","CCNA Security","Python, Bash","Cisco IOS, Wireshark",7,28,8,6,3,2,Firewalls,Sim,Sim,16,Sim,7,"Provedor de Internet",CLT
118,25,Feminino,Goiás,"Inteligência Artificial",2021,Sim,"Machine Learning","TensorFlow Developer","Python, R","PyTorch, Keras",4,18,6,3,3,2,"Treinamento de modelos",Sim,Sim,12,Sim,4,"Startup de IA",CLT
119,23,Masculino,Maranhão,"Desenvolvimento Mobile",2023,Não,Flutter,NULL,"Dart, Kotlin","Flutter, Firebase",3,15,4,3,1,3,"Performance mobile",Não,Sim,7,Sim,3,"Agência Mobile",PJ
120,27,Feminino,"Mato Grosso","Banco de Dados",2020,Sim,"Data Warehousing","Oracle Certified","SQL, Python","Oracle, PostgreSQL",5,20,7,4,3,0,"Otimização de queries",Sim,Não,13,Sim,5,"Empresa Financeira",CLT
121,24,Masculino,Paraíba,"Computação Gráfica",2022,Sim,"3D Modeling","Autodesk Certified","C++, Python","Blender, Maya",6,22,6,4,2,3,Renderização,Sim,Sim,9,Sim,6,"Estúdio de Jogos",PJ
122,26,Feminino,"Rio Grande do Sul","Testes de Software",2020,Sim,"Automação de Testes","ISTQB Certified","Java, Python","Selenium, Cypress",4,18,6,3,3,1,"Cobertura de testes",Sim,Não,11,Sim,4,"Empresa de QA",CLT
123,25,Masculino,Sergipe,Blockchain,2021,Não,"Smart Contracts","Ethereum Developer","Solidity, JavaScript","Hardhat, Truffle",7,25,5,4,2,4,"Segurança de contratos",Não,Sim,8,Sim,7,"Startup Blockchain",CLT
124,29,Outro,SP,"Análise de Sistemas",2022,0,"Curso de Dados","Certificado Azure",Ruby,.NET,23,71,27,21,8,1,"Despreparo técnico",1,0,25,0,NULL,"Grande Empresa",Temporário
125,18,Masculino,RJ,"Análise de Sistemas",2025,1,"Curso de Cloud","Certificado Google",Go,Node.js,16,102,13,37,7,0,"Mercado competitivo",0,0,36,0,9,Startup,Freelancer
126,24,Feminino,RS,"Ciência da Computação",2024,0,"Curso de Python","Certificado Google",Go,Angular,17,19,10,24,8,0,"Despreparo técnico",1,0,47,1,10,"Grande Empresa",Temporário
127,20,Outro,PE,"Ciência da Computação",2021,1,"Curso de SQL","Certificado Oracle",Python,Node.js,18,162,21,7,11,0,"Pouco networking",0,1,43,0,6,"Empresa Média",Estágio
128,31,Masculino,PE,"Sistemas de Informação",2025,1,"Curso de Dados","Certificado AWS",C#,React,14,147,26,9,6,0,"Despreparo técnico",1,1,25,1,10,"Órgão Público",Estágio
129,32,Masculino,MG,"Sistemas de Informação",2021,1,"Curso de Cloud","Certificado Azure",JavaScript,Node.js,15,2,5,45,0,0,"Mercado competitivo",1,0,15,0,3,"Órgão Público",Temporário
130,32,Outro,PR,"Análise de Sistemas",2022,1,"Curso de Frontend","Certificado Azure",Python,Node.js,14,3,7,7,0,1,"Mercado competitivo",0,1,22,0,10,Multinacional,Temporário
131,27,Masculino,PE,"Redes de Computadores",2021,0,"Curso de Python","Certificado AWS",Python,Node.js,5,37,7,34,14,0,"Pouco networking",0,1,36,1,11,"Órgão Público",CLT
132,26,Feminino,RJ,"Sistemas de Informação",2023,1,"Curso de Cloud",Nenhum,C#,React,13,78,9,21,4,1,"Não sei o que melhorar",1,0,46,0,7,Startup,Temporário
133,23,Feminino,RJ,"Análise de Sistemas",2025,1,"Curso de Python","Certificado AWS",JavaScript,Django,22,171,12,23,3,0,"Mercado competitivo",0,0,48,0,4,Multinacional,Estágio
134,22,Masculino,SP,"Redes de Computadores",2023,1,Nenhum,"Certificado Azure",Go,Django,11,35,14,39,11,0,"Falta de experiência",1,1,7,1,2,"Órgão Público",Freelancer
135,22,Feminino,SC,"Engenharia da Computação",2016,1,"Curso de Frontend",Nenhum,Python,Spring,23,7,8,16,14,1,"Despreparo técnico",1,0,41,0,10,Multinacional,CLT
136,20,Outro,DF,"Análise de Sistemas",2017,1,Nenhum,Nenhum,TypeScript,Flutter,1,114,19,26,13,1,"Falta de experiência",0,1,37,0,1,Multinacional,Temporário
137,23,Feminino,PE,"Engenharia da Computação",2024,1,"Curso de Python","Certificado AWS",TypeScript,.NET,15,181,16,47,3,0,"Despreparo técnico",0,1,39,1,8,"Empresa Média",Freelancer
138,22,Masculino,SP,"Sistemas de Informação",2023,1,"Curso de Frontend","Certificado AWS",C#,React,16,27,17,28,1,0,"Não sei o que melhorar",0,1,48,1,1,Startup,Estágio
139,29,Outro,MG,"Ciência da Computação",2016,1,"Curso de Frontend",Nenhum,PHP,Angular,1,164,27,7,0,0,"Não sei o que melhorar",1,1,21,1,4,Multinacional,Estágio
140,29,Masculino,PR,"Sistemas de Informação",2020,1,"Curso de SQL","Certificado Azure",PHP,Flutter,12,185,2,32,0,0,"Mercado competitivo",1,0,37,0,7,Startup,PJ
141,27,Feminino,PR,"Redes de Computadores",2017,1,"Curso de Dados","Certificado AWS",PHP,Flutter,16,117,27,39,4,1,"Mercado competitivo",1,0,13,1,7,"Grande Empresa",PJ
142,19,Feminino,PE,"Análise de Sistemas",2016,1,"Curso de Cloud","Certificado AWS",Java,Flutter,22,190,28,44,11,0,"Despreparo técnico",0,0,48,1,5,"Empresa Média",CLT
143,32,Feminino,PE,"Análise de Sistemas",2021,1,"Curso de Dados","Certificado Google",JavaScript,Laravel,22,49,11,9,15,0,"Despreparo técnico",0,0,46,0,6,"Grande Empresa",Estágio
144,27,Outro,PE,"Sistemas de Informação",2016,1,"Curso de SQL","Certificado Azure",Go,Django,3,151,9,17,15,1,"Falta de experiência",0,0,23,1,9,Startup,Estágio
145,32,Feminino,BA,"Sistemas de Informação",2016,1,"Curso de Python","Certificado Oracle",C#,Angular,0,104,14,44,0,0,"Despreparo técnico",0,1,10,0,5,"Empresa Média",Freelancer
146,21,Masculino,RS,"Sistemas de Informação",2020,1,"Curso de SQL","Certificado Google",JavaScript,Laravel,18,85,24,37,6,0,"Mercado competitivo",1,0,5,1,5,"Órgão Público",Temporário
147,27,Masculino,PR,"Sistemas de Informação",2020,0,"Curso de Cloud","Certificado AWS",JavaScript,Laravel,19,141,2,14,4,0,"Despreparo técnico",0,0,26,0,10,"Órgão Público",Estágio
148,30,Feminino,SP,"Ciência da Computação",2022,1,"Curso de SQL","Certificado AWS",TypeScript,Spring,7,180,15,45,19,0,"Falta de experiência",0,1,49,0,5,Multinacional,Freelancer
149,26,Masculino,PR,"Redes de Computadores",2025,0,"Curso de Cloud",Nenhum,JavaScript,Laravel,20,134,25,12,13,0,"Falta de experiência",1,1,17,1,7,Startup,Temporário
150,31,Outro,DF,"Ciência da Computação",2015,1,"Curso de Dados","Certificado AWS",Java,Spring,9,59,7,16,17,0,"Despreparo técnico",0,0,29,0,4,"Empresa Média",Temporário
151,29,Feminino,PR,"Sistemas de Informação",2023,1,"Curso de Python",Nenhum,TypeScript,Laravel,4,121,14,33,17,0,"Despreparo técnico",1,1,0,0,7,"Empresa Média",CLT
152,25,Masculino,BA,"Redes de Computadores",2016,1,"Curso de Dados","Certificado Oracle",Ruby,Laravel,18,47,27,40,6,0,"Falta de experiência",0,0,45,1,9,Multinacional,Freelancer
153,31,Feminino,RJ,"Sistemas de Informação",2024,0,"Curso de Dados",Nenhum,Java,Angular,16,141,13,9,11,0,"Falta de experiência",1,0,32,1,8,"Órgão Público",Temporário
154,26,Outro,PE,"Engenharia da Computação",2025,1,"Curso de Dados",Nenhum,PHP,Laravel,10,135,3,27,8,0,"Falta de experiência",1,1,9,0,5,"Empresa Média",PJ
155,25,Outro,MG,"Redes de Computadores",2015,1,"Curso de Python","Certificado AWS",Java,.NET,23,96,13,38,9,0,"Falta de experiência",0,0,26,1,10,Startup,CLT
156,19,Masculino,RJ,"Sistemas de Informação",2025,1,Nenhum,"Certificado Oracle",Ruby,.NET,19,156,13,47,7,1,"Não sei o que melhorar",0,0,20,1,11,Multinacional,Estágio
157,25,Masculino,DF,"Ciência da Computação",2019,1,"Curso de Dados","Certificado Azure",Java,Angular,4,60,0,6,12,0,"Mercado competitivo",0,0,16,0,9,Startup,PJ
158,28,Masculino,RJ,"Redes de Computadores",2016,1,"Curso de Python","Certificado Oracle",TypeScript,Node.js,15,76,29,41,2,0,"Mercado competitivo",1,1,41,0,8,"Grande Empresa",PJ
159,29,Masculino,DF,"Sistemas de Informação",2018,1,"Curso de Frontend","Certificado Oracle",Java,Spring,8,19,10,24,7,0,"Falta de experiência",1,1,42,1,1,Startup,CLT
160,22,Masculino,PE,"Sistemas de Informação",2019,1,"Curso de Dados","Certificado Oracle",Ruby,React,11,89,22,21,17,0,"Pouco networking",1,0,21,0,11,Startup,Temporário
161,32,Outro,PE,"Ciência da Computação",2025,0,"Curso de Python","Certificado Google",C#,Node.js,19,185,7,22,9,0,"Falta de experiência",1,0,24,1,3,Startup,PJ
162,26,Outro,RJ,"Análise de Sistemas",2019,1,Nenhum,"Certificado AWS",Python,Spring,16,172,6,25,17,1,"Mercado competitivo",0,0,21,1,5,"Órgão Público",Estágio
163,18,Feminino,RJ,"Análise de Sistemas",2022,1,"Curso de Cloud","Certificado AWS",Ruby,Laravel,17,8,0,2,2,0,"Não sei o que melhorar",0,0,25,1,5,Startup,Freelancer
164,21,Outro,PR,"Ciência da Computação",2025,1,"Curso de Cloud","Certificado AWS",Python,Spring,6,172,13,34,2,0,"Pouco networking",1,0,37,0,3,Multinacional,Estágio
165,29,Masculino,MG,"Engenharia da Computação",2017,1,"Curso de Cloud","Certificado Oracle",Python,Spring,13,55,19,21,3,0,"Despreparo técnico",0,0,39,1,3,Multinacional,PJ
166,21,Masculino,SP,"Redes de Computadores",2021,1,Nenhum,"Certificado Oracle",Python,React,16,82,29,36,13,0,"Não sei o que melhorar",0,0,21,1,8,Multinacional,PJ
167,29,Outro,RS,"Redes de Computadores",2018,1,"Curso de Dados","Certificado AWS",JavaScript,Flutter,1,109,17,10,7,0,"Despreparo técnico",1,0,35,1,4,Multinacional,CLT
168,29,Outro,BA,"Redes de Computadores",2022,0,"Curso de Python",Nenhum,Python,Flutter,6,110,29,12,5,1,"Não sei o que melhorar",1,0,14,1,2,"Empresa Média",CLT
169,23,Outro,BA,"Sistemas de Informação",2020,1,Nenhum,"Certificado AWS",JavaScript,React,2,67,9,28,17,1,"Falta de experiência",1,0,33,0,5,"Órgão Público",PJ
170,29,Masculino,RS,"Análise de Sistemas",2025,0,"Curso de Python","Certificado Oracle",PHP,Spring,19,87,21,14,5,0,"Pouco networking",0,1,21,0,12,"Grande Empresa",CLT
171,29,Masculino,BA,"Engenharia da Computação",2022,1,"Curso de Cloud","Certificado Google",C#,Spring,23,49,7,23,12,0,"Despreparo técnico",0,0,42,0,8,"Órgão Público",Freelancer
172,26,Masculino,DF,"Sistemas de Informação",2017,1,"Curso de Dados","Certificado Oracle",Java,Django,18,147,12,45,4,0,"Despreparo técnico",1,1,18,1,11,"Empresa Média",PJ
173,24,Masculino,RS,"Ciência da Computação",2025,1,Nenhum,"Certificado Google",Go,Node.js,18,156,18,37,17,0,"Falta de experiência",1,0,11,1,8,Startup,Freelancer
174,22,Feminino,PR,"Engenharia da Computação",2023,1,"Curso de Frontend","Certificado AWS",Ruby,Laravel,15,169,9,1,4,1,"Falta de experiência",0,1,30,1,5,"Grande Empresa",CLT
175,28,Feminino,BA,"Redes de Computadores",2016,1,Nenhum,"Certificado Azure",C#,Flutter,14,54,15,41,11,0,"Não sei o que melhorar",1,0,47,1,6,"Empresa Média",PJ
176,22,Outro,PR,"Ciência da Computação",2020,1,"Curso de SQL","Certificado Oracle",Ruby,Node.js,11,38,17,15,16,0,"Despreparo técnico",1,0,46,1,12,"Órgão Público",Estágio
177,27,Outro,SC,"Engenharia da Computação",2024,1,"Curso de Python",Nenhum,Go,Django,15,19,16,22,12,0,"Mercado competitivo",1,1,7,0,7,"Empresa Média",Estágio
178,18,Outro,PR,"Ciência da Computação",2019,1,"Curso de Dados",Nenhum,TypeScript,Django,19,17,29,32,6,0,"Falta de experiência",0,0,25,1,6,"Órgão Público",PJ
179,25,Feminino,PE,"Sistemas de Informação",2020,1,Nenhum,Nenhum,Python,Node.js,16,82,29,30,2,1,"Pouco networking",1,0,37,0,11,"Órgão Público",Estágio
180,19,Feminino,MG,"Análise de Sistemas",2017,0,"Curso de Dados","Certificado Oracle",Go,Django,8,148,18,43,9,1,"Não sei o que melhorar",1,0,49,0,3,"Órgão Público",Temporário
181,31,Feminino,SP,"Sistemas de Informação",2016,1,"Curso de SQL","Certificado Azure",C#,Flutter,10,106,10,8,15,0,"Não sei o que melhorar",0,0,45,1,12,Startup,PJ
182,29,Outro,DF,"Redes de Computadores",2025,0,"Curso de Python","Certificado Google",Go,Django,6,71,28,34,11,1,"Pouco networking",1,0,37,0,2,"Empresa Média",PJ
183,31,Masculino,PR,"Redes de Computadores",2018,1,"Curso de Python","Certificado Google",Ruby,Spring,13,2,12,1,18,0,"Pouco networking",0,0,47,0,7,Multinacional,Estágio
184,20,Outro,SC,"Engenharia da Computação",2025,1,"Curso de Dados","Certificado Azure",TypeScript,Laravel,14,106,23,18,9,0,"Falta de experiência",0,1,46,1,5,"Órgão Público",Temporário
185,31,Masculino,MG,"Análise de Sistemas",2021,1,"Curso de Cloud","Certificado Azure",Ruby,React,0,168,5,15,0,0,"Não sei o que melhorar",1,0,18,1,10,"Grande Empresa",Estágio
186,24,Outro,PR,"Sistemas de Informação",2023,1,"Curso de Dados","Certificado Google",Go,Django,6,58,20,27,13,0,"Pouco networking",0,0,39,0,3,Multinacional,Freelancer
187,29,Outro,SP,"Análise de Sistemas",2015,0,"Curso de Dados","Certificado Azure",Java,Flutter,3,9,22,27,11,0,"Pouco networking",1,0,13,1,10,Multinacional,CLT
188,26,Feminino,MG,"Sistemas de Informação",2020,1,"Curso de SQL","Certificado Oracle",JavaScript,Laravel,0,88,6,34,16,1,"Mercado competitivo",1,1,38,1,3,"Empresa Média",PJ
189,18,Feminino,PE,"Engenharia da Computação",2024,0,"Curso de Cloud","Certificado AWS",Python,Django,7,101,18,28,19,0,"Não sei o que melhorar",0,0,17,0,5,"Órgão Público",Temporário
190,31,Masculino,BA,"Análise de Sistemas",2016,1,"Curso de SQL","Certificado Azure",Python,Node.js,4,26,3,8,11,0,"Mercado competitivo",1,0,37,1,1,"Grande Empresa",Freelancer
191,31,Masculino,RS,"Redes de Computadores",2019,0,"Curso de Cloud","Certificado Azure",TypeScript,React,21,15,22,25,6,0,"Mercado competitivo",1,0,42,1,2,"Empresa Média",Estágio
192,20,Masculino,PR,"Análise de Sistemas",2021,1,"Curso de Frontend","Certificado Azure",C#,Laravel,1,180,9,40,2,0,"Mercado competitivo",1,1,39,0,5,Multinacional,Temporário
193,24,Outro,RJ,"Sistemas de Informação",2018,0,Nenhum,Nenhum,Ruby,React,7,57,13,21,16,1,"Falta de experiência",1,1,17,1,3,Startup,Estágio
194,29,Outro,PR,"Redes de Computadores",2023,1,"Curso de Frontend","Certificado Azure",JavaScript,Laravel,4,56,26,26,19,0,"Não sei o que melhorar",1,1,8,1,8,"Grande Empresa",Freelancer
195,21,Masculino,BA,"Redes de Computadores",2022,1,"Curso de SQL","Certificado Azure",C#,Node.js,12,160,13,45,2,1,"Pouco networking",1,1,5,0,8,Startup,CLT
196,25,Masculino,MG,"Análise de Sistemas",2016,1,"Curso de SQL","Certificado Oracle",Python,Spring,11,179,0,16,13,0,"Despreparo técnico",0,0,40,0,3,Multinacional,Temporário
197,22,Feminino,SP,"Ciência da Computação",2021,0,"Curso de Cloud","Certificado Azure",Python,Laravel,3,48,22,4,3,0,"Não sei o que melhorar",0,1,45,1,6,"Grande Empresa",Temporário
198,20,Outro,BA,"Sistemas de Informação",2017,1,"Curso de SQL","Certificado Azure",C#,Node.js,10,97,2,44,4,0,"Não sei o que melhorar",1,1,42,1,12,"Empresa Média",Temporário
199,27,Outro,PE,"Ciência da Computação",2020,0,"Curso de Cloud","Certificado AWS",Java,Spring,20,155,9,11,5,0,"Falta de experiência",1,1,22,1,2,"Grande Empresa",Estágio
200,22,Feminino,MG,"Redes de Computadores",2025,0,"Curso de Cloud","Certificado Oracle",TypeScript,Spring,6,96,18,33,9,0,"Mercado competitivo",1,0,5,0,4,Startup,Freelancer
201,30,Feminino,PR,"Redes de Computadores",2024,1,"Curso de Python","Certificado AWS",Go,Laravel,21,19,25,46,1,0,"Não sei o que melhorar",1,0,29,1,5,"Grande Empresa",Estágio
202,30,Feminino,BA,"Análise de Sistemas",2025,1,"Curso de Dados","Certificado Azure",Ruby,Angular,1,194,18,11,5,0,"Mercado competitivo",1,1,9,0,4,"Grande Empresa",CLT
203,21,Outro,DF,"Análise de Sistemas",2023,1,"Curso de SQL","Certificado Azure",Ruby,.NET,14,145,24,42,17,1,"Não sei o que melhorar",1,1,48,0,6,"Grande Empresa",CLT
204,19,Masculino,SC,"Engenharia da Computação",2025,0,"Curso de Cloud","Certificado Oracle",Java,.NET,5,0,9,25,12,0,"Falta de experiência",1,1,47,1,9,"Grande Empresa",CLT
205,26,Masculino,PE,"Engenharia da Computação",2024,1,Nenhum,Nenhum,TypeScript,React,15,23,18,35,14,0,"Não sei o que melhorar",0,1,23,0,12,"Empresa Média",Temporário
206,27,Outro,SC,"Engenharia da Computação",2019,1,"Curso de Python",Nenhum,Python,Laravel,13,126,12,7,10,0,"Pouco networking",1,0,42,0,7,"Órgão Público",PJ
207,23,Masculino,BA,"Engenharia da Computação",2015,0,Nenhum,"Certificado AWS",C#,Spring,17,10,1,7,11,0,"Mercado competitivo",0,0,30,1,3,"Grande Empresa",PJ
208,21,Feminino,RS,"Análise de Sistemas",2025,1,Nenhum,"Certificado Oracle",PHP,React,11,68,6,4,14,0,"Falta de experiência",1,1,42,1,10,"Órgão Público",PJ
209,23,Masculino,MG,"Sistemas de Informação",2016,1,"Curso de Frontend","Certificado Azure",C#,Spring,22,195,1,19,14,0,"Mercado competitivo",1,1,43,0,1,"Empresa Média",CLT
210,27,Outro,MG,"Redes de Computadores",2023,0,Nenhum,"Certificado Oracle",Go,Angular,12,43,14,41,13,1,"Pouco networking",0,1,40,0,8,"Órgão Público",PJ
211,19,Feminino,SC,"Sistemas de Informação",2018,1,"Curso de Frontend","Certificado Oracle",PHP,Flutter,7,133,10,40,18,0,"Mercado competitivo",0,0,36,1,2,"Grande Empresa",Estágio
212,29,Masculino,RS,"Análise de Sistemas",2020,1,"Curso de Python","Certificado Google",Java,Angular,5,96,23,23,19,0,"Não sei o que melhorar",1,0,10,0,10,"Grande Empresa",Estágio
213,32,Masculino,BA,"Redes de Computadores",2020,0,"Curso de SQL","Certificado Google",TypeScript,Laravel,14,104,22,7,10,0,"Despreparo técnico",1,0,47,1,12,Startup,PJ
214,24,Masculino,PE,"Análise de Sistemas",2021,1,Nenhum,"Certificado Google",Go,React,4,161,15,9,7,0,"Despreparo técnico",0,1,18,1,12,"Grande Empresa",PJ
215,29,Masculino,PE,"Engenharia da Computação",2016,1,"Curso de Cloud","Certificado Azure",TypeScript,Flutter,0,57,10,47,13,0,"Mercado competitivo",0,0,1,0,4,Startup,CLT
216,24,Masculino,DF,"Análise de Sistemas",2025,1,"Curso de SQL","Certificado Azure",C#,Spring,3,3,18,4,11,0,"Mercado competitivo",0,0,36,0,10,Multinacional,Estágio
217,29,Feminino,RS,"Engenharia da Computação",2020,1,Nenhum,"Certificado AWS",Java,Node.js,6,36,4,7,5,0,"Pouco networking",1,1,44,1,8,"Empresa Média",PJ
218,29,Outro,RS,"Engenharia da Computação",2018,1,Nenhum,Nenhum,Ruby,Spring,22,37,3,1,15,1,"Falta de experiência",1,0,27,0,8,Multinacional,Temporário
219,21,Masculino,PE,"Redes de Computadores",2023,1,"Curso de Cloud","Certificado AWS",TypeScript,Django,22,81,7,3,11,0,"Despreparo técnico",1,1,48,1,12,Startup,Estágio
220,20,Feminino,PE,"Redes de Computadores",2023,0,"Curso de Python",Nenhum,Ruby,Flutter,7,162,3,3,1,0,"Falta de experiência",0,1,41,0,8,"Órgão Público",PJ
221,29,Masculino,RJ,"Análise de Sistemas",2020,1,"Curso de Frontend","Certificado Azure",PHP,Angular,3,27,6,34,15,1,"Mercado competitivo",0,1,21,0,8,"Órgão Público",Freelancer
222,31,Feminino,SP,"Análise de Sistemas",2024,1,"Curso de Frontend","Certificado AWS",Python,Node.js,10,36,17,19,2,0,"Mercado competitivo",1,0,6,0,1,"Órgão Público",Temporário
223,28,Masculino,BA,"Engenharia da Computação",2018,1,Nenhum,"Certificado AWS",PHP,Node.js,8,15,8,9,2,0,"Falta de experiência",0,0,9,0,1,"Empresa Média",CLT
224,20,Masculino,RS,"Engenharia da Computação",2016,1,"Curso de Frontend","Certificado Oracle",Python,Flutter,14,8,12,45,7,0,"Pouco networking",0,1,44,0,8,"Órgão Público",Estágio
225,20,Masculino,SC,"Engenharia da Computação",2023,0,Nenhum,"Certificado Google",TypeScript,Django,14,17,18,40,4,0,"Não sei o que melhorar",1,0,18,0,7,"Empresa Média",Temporário
226,25,Feminino,PR,"Análise de Sistemas",2022,0,"Curso de Cloud","Certificado AWS",C#,React,7,87,6,42,11,0,"Não sei o que melhorar",1,0,0,1,1,"Órgão Público",Freelancer
227,18,Feminino,RJ,"Análise de Sistemas",2024,0,Nenhum,"Certificado Azure",Ruby,Angular,15,98,16,16,18,0,"Despreparo técnico",0,1,12,0,3,Startup,PJ
228,29,Outro,DF,"Engenharia da Computação",2016,0,"Curso de Python","Certificado Azure",C#,Spring,23,27,22,15,5,0,"Mercado competitivo",1,0,10,1,6,Multinacional,CLT
229,21,Masculino,DF,"Sistemas de Informação",2024,0,"Curso de Frontend","Certificado AWS",JavaScript,.NET,6,188,26,27,2,1,"Pouco networking",0,1,41,0,11,"Grande Empresa",CLT
230,21,Feminino,DF,"Engenharia da Computação",2025,1,"Curso de Cloud","Certificado Google",Java,Laravel,10,134,1,13,4,0,"Mercado competitivo",1,1,49,0,1,Startup,CLT
231,22,Masculino,MG,"Análise de Sistemas",2025,1,"Curso de Cloud","Certificado Google",PHP,.NET,3,117,13,23,0,1,"Mercado competitivo",0,0,13,0,5,Multinacional,Temporário
232,18,Masculino,MG,"Sistemas de Informação",2023,1,Nenhum,"Certificado Google",Go,React,14,152,28,26,15,0,"Falta de experiência",0,0,38,0,7,"Empresa Média",Freelancer
233,26,Masculino,RJ,"Engenharia da Computação",2015,0,"Curso de Python","Certificado Google",Java,Django,20,60,28,43,9,1,"Mercado competitivo",1,0,2,0,7,"Empresa Média",Estágio
234,18,Feminino,DF,"Análise de Sistemas",2022,1,"Curso de SQL",Nenhum,Go,Spring,21,161,9,11,2,0,"Despreparo técnico",1,1,42,0,10,"Órgão Público",CLT
235,20,Masculino,SP,"Engenharia da Computação",2024,1,"Curso de Frontend","Certificado Oracle",C#,Laravel,11,137,1,9,15,0,"Pouco networking",1,0,19,1,1,Startup,Temporário
236,29,Outro,BA,"Análise de Sistemas",2018,0,"Curso de Frontend","Certificado Azure",Python,Node.js,14,0,6,1,10,0,"Não sei o que melhorar",1,0,2,0,1,"Órgão Público",Temporário
237,21,Masculino,MG,"Redes de Computadores",2021,0,"Curso de Python","Certificado Google",Ruby,Spring,12,188,2,33,1,0,"Mercado competitivo",0,0,24,1,7,"Grande Empresa",Estágio
238,21,Outro,DF,"Engenharia da Computação",2025,1,"Curso de Python","Certificado Google",TypeScript,Spring,4,37,12,24,4,1,"Não sei o que melhorar",0,1,3,1,9,"Empresa Média",PJ
239,32,Feminino,DF,"Redes de Computadores",2021,1,"Curso de Cloud","Certificado Oracle",Python,Django,2,99,5,19,8,1,"Despreparo técnico",0,0,27,1,3,Startup,Estágio
240,29,Masculino,SC,"Engenharia da Computação",2023,1,"Curso de Frontend","Certificado AWS",PHP,Node.js,22,153,0,36,12,1,"Falta de experiência",0,1,43,1,9,"Grande Empresa",Estágio
241,30,Outro,SP,"Engenharia da Computação",2024,1,"Curso de Python","Certificado AWS",Java,Spring,3,8,25,2,15,1,"Pouco networking",0,0,24,1,7,"Grande Empresa",Estágio
242,23,Masculino,DF,"Sistemas de Informação",2022,1,"Curso de Dados","Certificado AWS",Python,React,3,113,11,7,12,0,"Mercado competitivo",1,1,34,1,10,Startup,Estágio
243,29,Feminino,PR,"Engenharia da Computação",2020,1,"Curso de Dados","Certificado Google",Java,Flutter,23,35,28,8,0,1,"Mercado competitivo",0,0,46,1,2,"Órgão Público",Freelancer
244,23,Outro,DF,"Ciência da Computação",2020,1,"Curso de SQL","Certificado Oracle",JavaScript,Flutter,2,156,19,46,14,1,"Mercado competitivo",1,1,33,0,3,Startup,Temporário
245,24,Outro,SC,"Ciência da Computação",2017,1,"Curso de Cloud","Certificado AWS",PHP,Angular,0,128,3,35,3,0,"Não sei o que melhorar",1,0,14,0,7,"Grande Empresa",CLT
246,29,Feminino,BA,"Análise de Sistemas",2025,1,"Curso de Cloud","Certificado Oracle",C#,React,14,155,1,48,13,0,"Despreparo técnico",1,0,42,0,2,Startup,Estágio
247,28,Masculino,PE,"Redes de Computadores",2020,1,"Curso de Python","Certificado Azure",C#,Django,4,22,29,24,11,0,"Falta de experiência",1,0,44,1,1,Startup,PJ
248,18,Feminino,RJ,"Ciência da Computação",2019,0,"Curso de SQL",Nenhum,TypeScript,Angular,2,31,13,36,5,0,"Despreparo técnico",1,0,4,0,11,"Órgão Público",Estágio
249,27,Outro,BA,"Redes de Computadores",2017,0,Nenhum,Nenhum,C#,Django,10,27,11,28,13,0,"Não sei o que melhorar",1,1,6,1,1,Multinacional,Freelancer
250,27,Feminino,SP,"Engenharia da Computação",2025,1,"Curso de Dados","Certificado Azure",JavaScript,Node.js,22,181,20,32,4,0,"Pouco networking",0,0,5,0,1,"Empresa Média",Estágio
251,29,Masculino,BA,"Sistemas de Informação",2016,0,"Curso de Frontend","Certificado Oracle",Python,Laravel,2,199,20,21,2,0,"Despreparo técnico",0,0,12,1,12,Startup,CLT
252,29,Outro,MG,"Engenharia da Computação",2024,0,Nenhum,"Certificado Oracle",Python,.NET,21,53,19,25,10,0,"Mercado competitivo",1,0,34,0,12,Multinacional,CLT
253,18,Outro,PR,"Ciência da Computação",2019,1,"Curso de Frontend","Certificado AWS",Ruby,Laravel,18,64,9,34,9,0,"Não sei o que melhorar",1,1,47,1,6,"Grande Empresa",Temporário
254,24,Masculino,SC,"Ciência da Computação",2015,1,"Curso de Dados","Certificado Oracle",TypeScript,Angular,1,170,1,33,3,1,"Falta de experiência",1,0,43,1,3,"Grande Empresa",Temporário
255,30,Masculino,SP,"Sistemas de Informação",2018,1,"Curso de Dados","Certificado Azure",Go,Laravel,3,36,14,44,19,0,"Pouco networking",1,1,46,1,12,"Órgão Público",Freelancer
256,23,Feminino,SC,"Redes de Computadores",2021,1,Nenhum,"Certificado Azure",Java,.NET,0,126,3,35,4,1,"Despreparo técnico",1,0,32,1,2,"Empresa Média",PJ
